Museum and Art Gallery of Northern Territory,NT,Australia,Darwin Wave Pool,NT,Australia,pubtrans,6.65,0:36,,
Museum and Art Gallery of Northern Territory,NT,Australia,Darwin Wave Pool,NT,Australia,walk,4.5,0:57,,
Museum and Art Gallery of Northern Territory,NT,Australia,Darwin Wave Pool,NT,Australia,cycle,4.5,0:16,,
Mindil Beach,NT,Australia,Museum and Art Gallery of Northern Territory,NT,Australia,car,2.3,0:03,,
Mindil Beach,NT,Australia,Museum and Art Gallery of Northern Territory,NT,Australia,pubtrans,2.41,0:04,,
Mindil Beach,NT,Australia,Museum and Art Gallery of Northern Territory,NT,Australia,walk,2.8,0:35,,
Mindil Beach,NT,Australia,Museum and Art Gallery of Northern Territory,NT,Australia,cycle,2.9,0:10,,
Mindil Beach,NT,Australia,Darwin Wave Pool,NT,Australia,car,3.5,0:08,,
Mindil Beach,NT,Australia,Darwin Wave Pool,NT,Australia,pubtrans,4.9,0:25,,
Mindil Beach,NT,Australia,Darwin Wave Pool,NT,Australia,walk,3.4,0:43,,
Mindil Beach,NT,Australia,Darwin Wave Pool,NT,Australia,cycle,3.8,0:14,,
RFDS Darwin Tourist Facility,NT,Australia,Darwin Wave Pool,NT,Australia,car,0.75,0:03,,
RFDS Darwin Tourist Facility,NT,Australia,Darwin Wave Pool,NT,Australia,walk,0.8,0:10,,
RFDS Darwin Tourist Facility,NT,Australia,Darwin Wave Pool,NT,Australia,cycle,0.8,0:03,,
Darwin Airport,NT,Australia,Charles Darwin University,NT,Australia,car,5.3,0:09,,
Darwin Airport,NT,Australia,Charles Darwin University,NT,Australia,pubtrans,7.5,0:35,,
Darwin Airport,NT,Australia,Charles Darwin University,NT,Australia,walk,5.5,1:07,,
Darwin Airport,NT,Australia,Charles Darwin University,NT,Australia,cycle,5.8,0:19,,
Brisbane Airport,QLD,Australia,Roma Street Parkland,QLD,Australia,car,15.8,0:16,peak=0:22,
Brisbane Airport,QLD,Australia,Roma Street Parkland,QLD,Australia,pubtrans,16.48,0:38,,
Brisbane Airport,QLD,Australia,Roma Street Parkland,QLD,Australia,walk,15.9,3:20,,
Brisbane Airport,QLD,Australia,Roma Street Parkland,QLD,Australia,cycle,16.7,0:57,,
Brisbane Lookout,QLD,Australia,Mount Coot-tha Botanic Gardens,QLD,Australia,car,2.4,0:04,,
Brisbane Lookout,QLD,Australia,Mount Coot-tha Botanic Gardens,QLD,Australia,pubtrans,2.79,0:11,,
Brisbane Lookout,QLD,Australia,Mount Coot-tha Botanic Gardens,QLD,Australia,walk,2.2,0:27,,
Brisbane Lookout,QLD,Australia,Mount Coot-tha Botanic Gardens,QLD,Australia,cycle,2.4,0:08,,
Roma Street Parkland,QLD,Australia,Mount Coot-tha Botanic Gardens,QLD,Australia,car,5.5,0:10,peak=0:20,
Roma Street Parkland,QLD,Australia,Mount Coot-tha Botanic Gardens,QLD,Australia,pubtrans,6.06,0:28,,
Roma Street Parkland,QLD,Australia,Mount Coot-tha Botanic Gardens,QLD,Australia,walk,5.8,1:16,,
Roma Street Parkland,QLD,Australia,Mount Coot-tha Botanic Gardens,QLD,Australia,cycle,6,0:27,,
Roma Street Parkland,QLD,Australia,GOMA Gallery Of Modern Art,QLD,Australia,car,1.9,0:05,peak=0:09,
Roma Street Parkland,QLD,Australia,GOMA Gallery Of Modern Art,QLD,Australia,pubtrans,2.78,0:16,,
Roma Street Parkland,QLD,Australia,GOMA Gallery Of Modern Art,QLD,Australia,walk,1.9,0:25,,
Roma Street Parkland,QLD,Australia,GOMA Gallery Of Modern Art,QLD,Australia,cycle,1.5,0:08,,
Roma Street Parkland,QLD,Australia,University of Queensland,QLD,Australia,car,6.8,0:10,peak=0:20,
Roma Street Parkland,QLD,Australia,University of Queensland,QLD,Australia,pubtrans,7.18,0:29,,
Roma Street Parkland,QLD,Australia,University of Queensland,QLD,Australia,walk,6.5,1:21,,
Roma Street Parkland,QLD,Australia,University of Queensland,QLD,Australia,cycle,6.8,0:28,,
Mount Coot-tha Botanic Gardens,QLD,Australia,University of Queensland,QLD,Australia,car,4.9,0:08,peak=0:14,
Mount Coot-tha Botanic Gardens,QLD,Australia,University of Queensland,QLD,Australia,pubtrans,5.28,0:32,,
Mount Coot-tha Botanic Gardens,QLD,Australia,University of Queensland,QLD,Australia,walk,5.3,1:06,,
Mount Coot-tha Botanic Gardens,QLD,Australia,University of Queensland,QLD,Australia,cycle,5.7,0:20,,
Mount Coot-tha Botanic Gardens,QLD,Australia,Lone Pine Koala Sanctuary,QLD,Australia,car,8.8,0:10,,
Mount Coot-tha Botanic Gardens,QLD,Australia,Lone Pine Koala Sanctuary,QLD,Australia,pubtrans,9.26,0:44,,
